Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
Argentina,26,6.65,1.15137,1.0661200000000002,0.69711,0.42284,0.07296,0.10989000000000003,3.1297099999999998,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Cyprus,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,1.881,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Guinea,151,3.607,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15579,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Mexico,24,6.488,1.038,1.252,0.7609999999999999,0.479,0.095,0.069,2.7939999999999987,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Mali,118,4.447,0.37,1.233,0.152,0.3670000000000001,0.056,0.139,2.13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Moldova,55,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25202,0.01903,0.19997,3.3798000000000004,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Taiwan Province of China,33,6.42199993133545,1.4336265325546298,1.38456535339355,0.793984234333038,0.361466586589813,0.0638292357325554,0.258360475301743,2.126167513430121,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Portugal,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047,1.4619999999999989,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Israel,19,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.272,0.354,1.912,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
United Arab Emirates,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262,2.1450000000000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Croatia,75,5.432,1.155,1.266,0.914,0.29600000000000004,0.022,0.119,1.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico,23,6.595,1.07,1.3230000000000002,0.861,0.433,0.073,0.07400000000000001,2.761,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Central African Republic,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218,2.4880000000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Bolivia,61,5.779,0.7759999999999999,1.209,0.706,0.511,0.064,0.13699999999999998,2.376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Zambia,125,4.377,0.562,1.047,0.295,0.503,0.08199999999999999,0.221,1.6669999999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Kyrgyzstan,98,5.0040001869201705,0.5962200760841371,1.39423859119415,0.553457796573639,0.454943388700485,0.0394391790032387,0.42858037352562,1.5371207818389006,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Azerbaijan,80,5.2120000000000015,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.0007900000000007,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
